player_id,player_fullname,age,birth_date,birth_place,nationality,height_cm,weight_kg,player_photo,club,league,position,minutes,rating,shots,goals,assists,passes,key_passes,tackles,blocks,interceptions,duels,duels_won,dribbles_attempted,dribbles_success,fouls_drawn,fouls_committed,team_logo,league_logo,goals_p90,assists_p90
153066,Fábio Leandro Freitas Gouveia de Carvalho,23.0,2002-08-30,,Portugal,170,62,https://media.api-sports.io/football/players/153066.png,Brentford,Premier League,Midfielder,128,6.72,8.37,9.83,3.3,0.44,0.84,6.53,2.18,1.06,2.25,2.58,7.18,5.93,0.76,9.44,https://media.api-sports.io/football/teams/55.png,https://media.api-sports.io/football/leagues/39.png,0.703125,0.0
196156,Igor Thiago Nascimento Rodrigues,24.0,2001-06-26,Gama,Brazil,191,85,https://media.api-sports.io/football/players/196156.png,Brentford,Premier League,Attacker,1313,7.06,7.28,9.42,3.37,2.28,3.03,5.92,6.63,4.59,6.39,6.05,3.5,4.8,2.55,3.64,https://media.api-sports.io/football/teams/55.png,https://media.api-sports.io/football/leagues/39.png,0.7539984767707539,0.0
319517,Antoni-Djibu Milambo,20.0,2005-04-03,Rotterdam,Netherlands,179,68,https://media.api-sports.io/football/players/319517.png,Brentford,Premier League,Midfielder,45,6.6,0.92,3.41,3.3,0.98,0.84,9.74,2.18,1.06,7.36,9.55,0.53,1.11,0.76,9.44,https://media.api-sports.io/football/teams/55.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
342022,Michael Olabode Kayode,21.0,2004-07-10,Borgomanero,Italy,179,74,https://media.api-sports.io/football/players/342022.png,Brentford,Premier League,Defender,1391,6.87,3.73,3.94,3.99,1.44,8.89,7.84,4.52,6.2,6.8,8.17,9.5,9.66,7.36,7.12,https://media.api-sports.io/football/teams/55.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
20638,Enzo Jérémy Le Fée,25.0,2000-02-03,Lorient,France,170,63,https://media.api-sports.io/football/players/20638.png,Sunderland,Premier League,Midfielder,1138,6.65,5.0,8.26,8.92,3.67,7.11,7.73,8.29,4.18,6.36,4.55,5.99,3.55,5.48,5.7,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/leagues/39.png,0.15817223198594024,0.23725834797891038
47521,Patrick John Joseph Roberts,28.0,1997-02-05,Kingston upon Thames,England,167,58,https://media.api-sports.io/football/players/47521.png,Sunderland,Premier League,Midfielder,27,6.5,0.92,3.41,3.3,9.56,0.84,0.48,2.18,1.06,1.37,2.25,8.7,9.78,0.76,9.44,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
84087,Wilson Isidor,25.0,2000-08-27,Rennes,France,186,79,https://media.api-sports.io/football/players/84087.png,Sunderland,Premier League,Attacker,915,6.64,7.52,7.82,3.37,0.34,1.12,4.32,7.06,2.21,3.98,2.01,4.39,3.57,1.97,7.07,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/leagues/39.png,0.39344262295081966,0.0
194536,Robin Roefs,22.0,2003-01-17,Heeswijk,Netherlands,193,72,https://media.api-sports.io/football/players/194536.png,Sunderland,Premier League,Goalkeeper,1448,7.25,5.0,5.06,4.94,8.72,9.74,4.1,5.06,4.49,8.97,9.62,4.17,4.23,9.62,5.77,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
290545,Jenson Seelt,22.0,2003-05-23,Ede,Netherlands,192,84,https://media.api-sports.io/football/players/290545.png,Sunderland,Premier League,Defender,134,6.95,1.41,3.94,3.99,9.52,1.39,8.49,6.48,0.75,6.49,8.73,1.19,1.68,4.94,7.37,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
327631,Mouhamadou Habib Diarra,21.0,2004-01-03,Guédiawaye,France,179,74,https://media.api-sports.io/football/players/327631.png,Sunderland,Premier League,Midfielder,347,6.6,8.61,3.41,3.3,2.89,2.03,0.95,2.18,2.47,0.51,0.54,4.79,2.96,1.64,6.19,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
339201,Christopher Rigg,18.0,2007-06-18,Hebburn,England,177,65,https://media.api-sports.io/football/players/339201.png,Sunderland,Premier League,Midfielder,189,6.65,6.85,3.41,3.3,0.61,5.67,5.67,8.31,1.06,2.1,3.11,5.33,4.58,4.58,6.72,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
349799,Eliezer Mayenda Dossou,20.0,2005-05-08,Zaragoza,Spain,180,75,https://media.api-sports.io/football/players/349799.png,Sunderland,Premier League,Attacker,273,6.6,2.96,7.31,3.37,0.24,3.64,2.55,9.12,2.21,6.22,3.33,5.53,5.99,3.64,7.02,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/leagues/39.png,0.32967032967032966,0.0
171,Kyle Leonardus Walker-Peters,28.0,1997-04-13,London,England,173,62,https://media.api-sports.io/football/players/171.png,West Ham,Premier League,Defender,519,6.63,8.34,9.19,3.99,3.08,6.47,5.49,4.11,0.75,6.68,7.33,7.84,9.21,8.68,6.11,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/leagues/39.png,0.17341040462427745,0.0
15870,Mads Hermansen,25.0,2000-07-11,Odense,Denmark,187,81,https://media.api-sports.io/football/players/15870.png,West Ham,Premier League,Goalkeeper,360,6.28,5.0,5.06,4.94,7.24,3.85,4.1,5.06,4.49,6.99,7.63,4.17,4.23,2.24,5.77,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
18744,Maximilian William Kilman,28.0,1997-05-23,London,England,194,89,https://media.api-sports.io/football/players/18744.png,West Ham,Premier League,Defender,1179,6.71,4.18,3.94,3.99,3.77,4.3,2.0,9.06,2.19,3.29,3.73,4.33,5.75,1.68,5.31,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
68466,Andrew Irving,25.0,2000-05-13,Edinburgh,Scotland,190,66,https://media.api-sports.io/football/players/68466.png,West Ham,Premier League,Midfielder,163,6.6,0.92,3.41,3.3,8.24,8.36,8.95,8.75,4.16,2.98,2.14,2.27,1.11,0.76,8.41,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
284446,Freddie Potts,22.0,2003-09-12,London,England,183,,https://media.api-sports.io/football/players/284446.png,West Ham,Premier League,Midfielder,658,6.8,0.92,3.41,7.9,6.75,5.75,7.21,2.18,5.75,3.94,6.53,2.22,1.11,6.6,6.63,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.13677811550151975
327730,Oliver Scarles,20.0,2005-12-12,Bromley,England,182,75,https://media.api-sports.io/football/players/327730.png,West Ham,Premier League,Defender,70,6.35,1.41,3.94,3.99,0.43,1.39,3.53,1.25,0.75,8.46,6.38,9.38,1.68,9.74,9.48,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
392270,Marc Guiu Paz,19.0,2006-01-04,Granollers,Spain,187,82,https://media.api-sports.io/football/players/392270.png,Sunderland,Premier League,Attacker,23,6.25,9.66,2.6,3.37,3.88,1.12,1.05,3.3,2.21,8.93,3.11,0.65,1.09,0.83,9.39,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
409303,El Hadji Malick Diouf,21.0,2004-12-28,Ziguinchor,Senegal,183,,https://media.api-sports.io/football/players/409303.png,West Ham,Premier League,Midfielder,1388,6.53,4.6,3.41,8.56,3.4,3.3,2.86,7.87,7.19,3.08,3.35,5.77,5.99,3.91,6.55,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.19452449567723346
270510,Mathys Henri Tel,20.0,2005-04-27,Sarcelles,France,183,77,https://media.api-sports.io/football/players/270510.png,Tottenham,Premier League,Attacker,299,6.71,5.2,9.12,3.37,2.76,1.12,7.38,3.3,2.21,4.46,3.11,3.71,4.22,2.52,5.99,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/leagues/39.png,0.6020066889632107,0.0
